Document Name,Page Number,Current Charges,Account Number 1,Account Number 2,Zipcode,Vendor Name,Due Date,Customer Address,Remittance address
Senior Living Devonshire Electric 07.28.22 to 08.26.22 - DTE Energy - 18.pdf,1,,9100 244 1915 2,9100 244 1915 2,49512-2065,DTE,,136 1 SP 0.530 ** T001 * 1 * P00 M08 ************** SINGLE - PIECE DEVONSHIRE RETIREMENT VILLAGE LLC STE 200 3196 KRAFT AVE SE GRAND RAPIDS MI 49512-2065 | dp |||||| TilmerHulplillb qliddpoub,Mail Payments to : DTE Energy P.O. Box 740786 Cincinnati OH 45274-0788
Senior Living Devonshire Electric 07.28.22 to 08.26.22 - DTE Energy - 18.pdf,2,,,,48226-1221,,,,
Senior Living Devonshire Electric 07.28.22 to 08.26.22 - DTE Energy - 16.pdf,1,,9100 244 1730 5,9100 244 1730 5,49512-2065,DTE,,T001 1 P00 M08 *** 136 1 SP 0.530 ******* SINGLE - PIECE DEVONSHIRE RETIREMENT VILLAGE LLC STE 200 3196 KRAFT AVE SE GRAND RAPIDS MI 49512-2065 q4 | m³ | ] op [ [ dp / uplalequoq H4lbpjdhfkcho | 1,Mail Payments to : DTE Energy P.O. Box 740786 OH Cincinnati 45274-0786
Senior Living Devonshire Electric 07.28.22 to 08.26.22 - DTE Energy - 16.pdf,2,,,,48226-1221,,,,
Senior Living Devonshire Electric 07.28.22 to 08.26.22 - DTE Energy - 15.pdf,1,,9100 244 1741 2,,49512-2065,DTE,,136 1 SP 0.530 * T001 * 1 * P00 * M08 ************** SINGLE - PIECE DEVONSHIRE RETIREMENT VILLAGE LLC STE 200 3196 KRAFT AVE SE GRAND RAPIDS MI 49512-2065 44Mmr | | [ sho || i4 | wl plafkdx illaghalalpıy / r,Mail Payments to : DTE Energy P.O. Box 740786 OH Cincinnati 45274-0786
Senior Living Devonshire Electric 07.28.22 to 08.26.22 - DTE Energy - 15.pdf,2,,,,48226-1221,,,,
Senior Living Devonshire Electric 07.28.22 to 08.26.22 - DTE Energy - 14.pdf,1,,9100 244 1753 7,,49512-2065,DTE,,136 1 SP 0.530T001 * 1 * P00 * M08 ************** SINGLE - PIECE DEVONSHIRE RETIREMENT VILLAGE LLC STE 200 3196 KRAFT AVE SE GRAND RAPIDS MI 49512-2065,Mail Payments to : DTE Energy P.O. Box 740786 OH Cincinnati 45274-0786
Senior Living Devonshire Electric 07.28.22 to 08.26.22 - DTE Energy - 14.pdf,2,,,,48226-1221,,,,
Senior Living Devonshire Electric 07.28.22 to 08.26.22 - DTE Energy - 13.pdf,1,,9100 244 1765 1,,49512-2065,DTE,,136 1 SP 0.530 ** T001 ***** SINGLE PIECE * 1 * P0O0 * M08 * - DEVONSHIRE RETIREMENT VILLAGE LLC STE 200 3190 KRAFT AVE SE GRAND RAPIDS MI 49512-2065 / shpe || 04 | oy | lalalpoo Talduidelillede ),Mail Payments to : DTE Energy P.O. Box 740786 Cincinnati OH 45274-0786
Senior Living Devonshire Electric 07.28.22 to 08.26.22 - DTE Energy - 13.pdf,2,,,,48226-1221,,,,
Senior Living Devonshire Electric 07.28.22 to 08.26.22 - DTE Energy - 12.pdf,1,,9100 244 1773 5,9100 244 1773 5,49512-2065,DTE,,136 1 SP 0.530 T001 * 1 * P00¹M08 ************** SINGLE - PIECE DEVONSHIRE RETIREMENT VILLAGE LLC STE 200 3196 KRAFT AVE SE GRAND RAPIDS MI 49512-2065 Turkallah | c4 |||| sh | Maqlıldpruß,Mail Payments to : DTE Energy 786 P.O.Box Cincinnati OH 45274-0786
Senior Living Devonshire Electric 07.28.22 to 08.26.22 - DTE Energy - 12.pdf,2,,,,48226-1221,,,,
Senior Living Devonshire Electric 07.28.22 to 08.26.22 - DTE Energy - 11.pdf,1,,9100 244 1783 4,,49512-2065,DTE,,,
Senior Living Devonshire Electric 07.28.22 to 08.26.22 - DTE Energy - 11.pdf,2,,,,48226-1221,,,,
Senior Living Devonshire Electric 07.28.22 to 08.26.22 - DTE Energy - 10.pdf,1,,9100 244 1791 7,,49512-2065,DTE,,GRAND RAPIDS MI 49512-2065,Mall Payments to : DTE Energy P.O. Box 740786 OH Cincinnati 45274-0786
Senior Living Devonshire Electric 07.28.22 to 08.26.22 - DTE Energy - 10.pdf,2,,,,48226-1221,,,,
Senior Living Devonshire Electric 07.28.22 to 08.26.22 - DTE Energy - 9.pdf,1,,9100 244 1005 5,9100 244 1805 5,49512-2065,DTE,,GRAND RAPIDS MI 49512-2065,Mail Payments : to DTE Energy P.O. Box 740786 OH Cincinnati 45274-0786
Senior Living Devonshire Electric 07.28.22 to 08.26.22 - DTE Energy - 9.pdf,2,,,,,,,,
Senior Living Devonshire Electric 07.28.22 to 08.26.22 - DTE Energy - 8.pdf,1,,9100 244 1817 0,,49512-2065,DTE,,3196 KRAFT AVE SE GRAND RAPIDS MI 49512-2065,
Senior Living Devonshire Electric 07.28.22 to 08.26.22 - DTE Energy - 8.pdf,2,,,,48226-1221,,,,
Senior Living Devonshire Electric 07.28.22 to 08.26.22 - DTE Energy - 7.pdf,1,,9100 244 1020 7,9700 244 1828 7,49512-2065,DTE,,"T001 1 P00 * M08 "" 136 1 SP 0.530 *** SINGLE - PIECE DEVONSHIRE RETIREMENT VILLAGE LLC STE 200 3196 KRAFT AVE SE GRAND RAPIDS MI 49512-2065",Mail Payments to : DTE Energy P.O. Box 740786 OH Cincinnati 45274-0786
Senior Living Devonshire Electric 07.28.22 to 08.26.22 - DTE Energy - 7.pdf,2,,,,48226-1221,,,,
Senior Living Devonshire Electric 07.28.22 to 08.26.22 - DTE Energy - 6.pdf,1,,9100 244 1839 4,,49512-2065,DTE,,136 1 SP 0.530 ** T001 * 1 * P00 * M08 ************** SINGLE - PIECE DEVONSHIRE RETIREMENT VILLAGE LLC STE 200 319G KRAFT AVE SE GRAND RAPIDS MI 49512-2065,Mail Payments to : DTE Energy P.O. Box 740786 Cincinnati OH 45274-0786
Senior Living Devonshire Electric 07.28.22 to 08.26.22 - DTE Energy - 6.pdf,2,,,,48226-1221,,,,
Senior Living Devonshire Electric 07.28.22 to 08.26.22 - DTE Energy - 5.pdf,1,,9100 244 1847 7,9100 244 1847 7,49512-2065,DTE,,GRAND RAPIDS MI 49512-2065,
Senior Living Devonshire Electric 07.28.22 to 08.26.22 - DTE Energy - 5.pdf,2,,,,48226-1221,,,,
Senior Living Devonshire Electric 07.28.22 to 08.26.22 - DTE Energy - 4.pdf,1,,0100 244 1857 6,9100 244 1857 6,49512-2065,DTE,,GRAND RAPIDS MI 49512-2065,Mail Payments to : DTE Energy P.O. Box 740786 OH Cincinnati 45274-0786
Senior Living Devonshire Electric 07.28.22 to 08.26.22 - DTE Energy - 4.pdf,2,,,,48226-1221,,,,
Senior Living Devonshire Electric 07.28.22 to 08.26.22 - DTE Energy - 3.pdf,1,,9100 244 1869 1,,49512-2065,DTE,,136 1 SP 0.530 ** T001 * 1 * POO MOS ************** SINGLE - PIECE DEVONSHIRE RETIREMENT VILLAGE LLC STE 200 3196 KRAFT AVE SE GRAND RAPIDS MI 49512-2065 yaylartudMrbolade | d4yo || o1y | khaplololpassp | s |,Mail Payments to : DTE Energy P.O. Box 740786 OH Cincinnati 45274-0786
Senior Living Devonshire Electric 07.28.22 to 08.26.22 - DTE Energy - 3.pdf,2,,,,48226-1221,,,,
Senior Living Devonshire Electric 07.28.22 to 08.26.22 - DTE Energy - 2.pdf,1,,9100 244 1884 0,9100 244 1884 0,49512-2065,DTE,,136 1 SP 0.530 ** T001 * 1 * P00 * M08 ************** SINGLE - PIECE DEVONSHIRE RETIREMENT VILLAGE LLC STE 200 3196 KRAFT AVE SE GRAND RAPIDS MI 49512-2065,Mail Payments to : DTE Energy P.O. Box 740786 Cincinnati OH 45274-0786
Senior Living Devonshire Electric 07.28.22 to 08.26.22 - DTE Energy - 2.pdf,2,,,,,,,,
Senior Living Boulder Creek Gas 07.12.22 to 08.09.22 - DTE Energy.pdf,1,,,,45541-9244,FOR,,POD WIDE 111551 AB 0.45BT046 BOULDER CREEK LEISURE LIMING 6070 INCRTHLAND DR NE ROCKFORD WIL 45541-9244,
Senior Living Boulder Creek Gas 07.12.22 to 08.09.22 - DTE Energy.pdf,2,,,,45274-0786,,,,
Oak Tree White Lake - Electric - DTE Energy (8).pdf,1,$ 35.38,9200 288 9648 7,,48386-4530,SCH,01/03/2023,34862 1 AV 0.423 ** T124 * 2 * P03 * M12 *** AUTO ** SCH 5 - DIGIT 4838 OAK TREE WHITE LAKE OFC OFC 935 UNION LAKE RD WHITE LAKE MI 48386-4530 WWdpb MOUWM - Phone for with code Scan payment quick and secure process !,
Oak Tree White Lake - Electric - DTE Energy (8).pdf,2,,,,48226-1221,,,,
Oak Tree White Lake - Electric - DTE Energy (4).pdf,1,$ 77.09,9200 288 9651 1,9200 288 9651 1,48386-4530,SCH,01/03/2023,34863 1 AV 0.423 ** T124 * 2 * P03 * M12 *** AUTO ** SCH 5 - DIGIT 4838 OAK TREE WHITE LAKE OFC OFC 935 UNION LAKE RD WHITE LAKE MI 48386-4530 ավակյալելուլիկլեիլի for Phone with code Scan quick and secure payment process !,
Oak Tree White Lake - Electric - DTE Energy (4).pdf,2,,,,48226-1221,,,,
Oak Tree White Lake - Electric - DTE Energy (7).pdf,1,$ 48.08,9200 288 9647 9,9200 288 9647 9,48386-4530,SCH,01/03/2023,34862 1 AV 0.423 ** T124 * 2 * P03 * M12 *** AUTO ** SCH 5 - DIGIT 4838 OAK TREE WHITE LAKE OFC OFC 935 UNION LAKE RD WHITE LAKE MI 48386-4530 MW- ||||||| 4p | Phone for with code Scan quick and secure payment process !,
Oak Tree White Lake - Electric - DTE Energy (7).pdf,2,,,,48226-1221,,,,
Oak Tree White Lake - Electric - DTE Energy (6).pdf,1,$ 58.41,9200 288 9646 1,,48386-4530,SCH,01/03/2023,34862 1 AV 0.423 ** T124 * 2 * P03 * M12 *** AUTO ** SCH 5 - DIGIT 4838 OAK TREE WHITE LAKE OFC OFC 935 UNION LAKE RD WHITE LAKE MI 48386-4530 MÜÜWWHW |||||||||| for Phone with code Scan payment and quick secure process !,
Oak Tree White Lake - Electric - DTE Energy (6).pdf,2,,,,48226-1221,,,,
Oak Tree White Lake - Electric - DTE Energy (5).pdf,1,$ 35.52,9200 288 9652 9,9200 288 9652 9,48386-4530,SCH,01/03/2023,34863 1 AV 0.423 ** T124 * 2 * P03 * M12 *** AUTO ** SCH 5 - DIGIT 4838 OAK TREE WHITE LAKE OFC OFC 935 UNION LAKE RD WHITE LAKE MI 48386-4530 wwwdddd4 | ly | dy |||||||||| Phone for with Scan code quick and secure payment process !,
Oak Tree White Lake - Electric - DTE Energy (5).pdf,2,,,,48226-1221,,,,
Oak Tree White Lake - Electric - DTE Energy (3).pdf,1,$ 36.05,9200 288 9650 3,9200 288 9650 3,48386-4530,SCH,01/03/2023,34863 1 AV 0.423 ** T124 * 2 * P03 * M12 *** AUTO ** SCH 5 - DIGIT 4838 OAK TREE WHITE LAKE OFC OFC 935 UNION LAKE RD WHITE LAKE MI 48386-4530 ավացյալիլեիտելի Phone for code with Scan payment quick secure and process !,
Oak Tree White Lake - Electric - DTE Energy (3).pdf,2,,,,48226-1221,,,,
Oak Tree White Lake - Electric - DTE Energy (2).pdf,1,$ 5.38,9200 236 4253 0,9200 236 4253 0,48386-4530,DEC,01/03/2023,935 UNION LAKE RD WHITE LAKE MI 48386-4530 եկեցիկլեեեելեվոր,
Oak Tree White Lake - Electric - DTE Energy (2).pdf,2,,,,48226-1221,,,,
Oak Tree White Lake - Electric - DTE Energy (1).pdf,1,,9300 020 9293 8,9300 020 9293 8,48386-4530,CIR,,96 1 SP 0.530 ** T001 * 1 * P00 * M12 ************** SINGLE - PIECE WHITE LAKE VILLAGE LLC OFC 935 UNION LAKE RD WHITE LAKE MI 48386-4530 Սիլիկեիլեեեեելոլեկ,
Oak Tree White Lake - Electric - DTE Energy (1).pdf,2,,,,48226-1221,,,,
Ludington Woods Retirement Village Gas 08.03.22 to 09.02.22 - DTE Energy.pdf,1,$ 527.51,9100 225 4276 5,9100 225 4276 5,49431-1989,,09/27/2022,"REENDERS INC LUDINGTON RETIREMENT VILLAGE 502 N SHERMAN ST MI 49431-1989 LUDINGTON ,",
Ludington Woods Retirement Village Gas 08.03.22 to 09.02.22 - DTE Energy.pdf,2,,,,48226-1221,,,,
Lakeview Terrace Assisted Living Gas 08.10.22 to 09.02.22 - DTE Energy.pdf,1,$ 509.21,9100 355 5436 9,9100 355 5436 9,48850-9167,DTE,09/30/2022,"LAKEVIEW TERRACE ASSISTED LIVING LLC 9494 PADEN RD MI 48850-9167 LAKEVIEW ,",
Lakeview Terrace Assisted Living Gas 08.10.22 to 09.02.22 - DTE Energy.pdf,2,,,,48226-1221,,,,
IV White Lake - Electric 07.12.22 to 08.10.22 - DTE Energy.pdf,1,,9100 083 9091 6,9100 083 9091 6,48386-4530,AUG,,34944 1 AV 0.423 ** T126 * 2 * AUTO ** SCH DIGIT 4838 P03 M08 5 - OAK TREE WHITE LAKE OFC OFC 935 UNION LAKE RD WHITE LAKE MI 48386-4530 | 64 ||| ¶¼n4lllided HUW4 Phone for with Scan code and quick secure payment process !,Mail Payments to : DTE Energy P.O. Box 740786 Cincinnati OH 45274-0786
IV White Lake - Electric 07.12.22 to 08.10.22 - DTE Energy.pdf,2,,,,48226-1221,,,,
IV Plymouth - Electric 08.17.22 to 09.16.22 - DTE Energy.pdf,1,,9100 376 5045 4,,48170-6064,DTE,,19631 1 AV 0.423 ** T072 * 2 * P02 * M09 ******* AUTO ** 5 - DIGIT 4817 SENIOR LIVING PLYMOUTH LLC DBA IV PLYMOUTH OFC 14707 NORTHVILLE RD PLYMOUTH MI 48170-6064 - // L 4 / ¶ / 44 /,Mail Payments to : DTE Energy P.O. Box 740786 Cincinnati OH 45274-0786
IV Plymouth - Electric 08.17.22 to 09.16.22 - DTE Energy.pdf,2,,,,48226-1221,,,,
IV Plymouth - Electric - DTE Energy (2).pdf,1,,,,48170-6064,DTE,,PLYMOUTH INDEPENDENT VILLAGE P.M. ONE OFC 14707 NORTHVILLE RD PLYMOUTH MI 48170-6064,Mail Payments to : DTE Energy P.O. Box 740786 Cincinnati OH 45274-0786
IV Plymouth - Electric - DTE Energy (2).pdf,2,,,,,,,,
IV Plymouth - Electric - DTE Energy (2).pdf,3,,,,,,,,
IV Plymouth - Electric - DTE Energy (2).pdf,4,,,,,,,,
IV Petosky - Gas 08.16.22 to 09.13.22 - DTE Energy.pdf,1,,9100 383 8770 0,9100 383 8770 0,49770-8784,SCH,,63003 1 AV 0.423 ** T219 * 2 * P00 * M09 *** AUTO ** SCH 5 - DIGIT 4972 SENIOR LIVING PETOSKEY LLC IV PETOSKEY OFFICE 965 HAGER DR PETOSKEY MI 49770-8784 M |||||||||||||,Mail Payments to : DTE Energy P.O. Box 740786 OH Cincinnati 45274-0786
IV Petosky - Gas 08.16.22 to 09.13.22 - DTE Energy.pdf,2,,,,48226-1221,,,,
IV Oxford (Waterston) - Electric 08.10.22 to 09.08.22 - DTE Energy.pdf,1,,9100 376 4954 8,9100 376 4954 8,48371-3578,DBA,,33644 1 AV 0.423 ** T119 * 2 * P03 * M09 *** AUTO ** SCH 5 - DIGIT 4837 SENIOR LIVING WATERSTONE LLC DBA IVWATERSTONE 701 MARKET ST OXFORD MI 48371-3578 |||| M4 | ku | yılıbık,Payments to Mail : DTE Energy P.O. Box 740786 Cincinnati OH 45274-0786
IV Oxford (Waterston) - Electric 08.10.22 to 09.08.22 - DTE Energy.pdf,2,,,,48226-1221,,,,
IV Brighton Valley - Electric 08.18.22 to 09.19.22 - DTE Energy.pdf,1,"$ 2,130.95",9200 148 1551 7,9200 148 1551 7,48116-9442,DTE,10/12/2022,6371 1 AV 0.423 ** T026 * 1 * P01 M09 ******* AUTO ** 5 - DIGIT 48116 BRIGHTON OPCO LLC 7700 NEMCO WAY BRIGHTON MI 48116-9442 +4 |||| ll | 4q | re | ³ + ] 4 |||||||||| r4bybdq,
IV Brighton Valley - Electric 08.18.22 to 09.19.22 - DTE Energy.pdf,2,,,,48226-1221,,,,
IV Brighton Valley - Electric 08.18.22 to 09.19.22 - DTE Energy (2).pdf,1,"$ 4,093.88",9200 148 1548 3,,48116-9442,SEP,,"MULTIPLE Account Number 9200 148 1548 3 PAYMENT COUPONS ENCLOSED Withdrawal Date : VE October 12 , 2022 Withdrawal Amount : $ 4,093.88 6371 1 AV 0.423 ** T026 * 1 P01 M09 ******* AUTO ** 5 - DIGIT 48116 BRIGHTON OPCO LLC SEP 2 4 2022 7700 NEMCO WAY By BRIGHTON MI 48116-9442 | ||||||||||||||| ¶rtkqbly +4 Jury pe",
IV Brighton Valley - Electric 08.18.22 to 09.19.22 - DTE Energy (2).pdf,2,,,,48226-1221,,,,
Grand Village Assisted Living Gas 06.21.22 to 07.18.22 - DTE Energy.pdf,1,,9200 032 4598 1,9200 032 4598 1,49418-2457,DTE,,4845 1 AV 0.423 T019 ** 2 * P00 * * GRANDVILLE M07 *** ASSISTED AUTO ** 3939 44TH ST LIVING SW LLC GRANDVILLE MI 49418-2457 | po fx | kolelede | fdybakırdıl,Mail Payments to : DTE Energy P.O. Box 740786 Cincinnati OH 45274-0786
Grand Village Assisted Living Gas 06.21.22 to 07.18.22 - DTE Energy.pdf,2,,,,45274-0786,,,,
Glen Abbey Assisted Living Gas 07.12.22 to 08.10.22 - DTE Energy.pdf,1,$ 619.68,9200 031 8564 1,9200 031 8564 1,48187-4424,DTE,09/02/2022,22023 1 AB 0.458 ** T081 * 2 * P02 * M08 **** AUTO ** ALL FOR AADC 48 GLEN ABBEY ASSISTED LIVING LLC 445 N LOTZ RD CANTON MI 48187-4424 եելլոոելլկլեոլիթիլցելելլ,
Glen Abbey Assisted Living Gas 07.12.22 to 08.10.22 - DTE Energy.pdf,2,,,,48226-1221,,,,
Glen Abbey Assisted Living Electric 07.19.22 to 08.16.22 - DTE Energy.pdf,1,"$ 4,829.82",9100 387 7450 1,9100 387 7450 1,48187-4424,DTE,09/08/2022,445 N LOTZ RD CANTON MI 48187-4424 Ոլկիլլելեկել,
Glen Abbey Assisted Living Electric 07.19.22 to 08.16.22 - DTE Energy.pdf,2,,,,48226-1221,,,,
CorsoCare Pharmacy - Electric - DTE Energy.pdf,1,,9200 369 1373 8,9200 369 1373 8,48116-9458,DTE,,3158 1 AB 0.458 ** T014 * 2 * P01 * M11 **** AUTO ** ALL FOR AADC 481 CORSOCARE PHARMACY SERVICES LLC STE 200 7927 NEMCO WAY BRIGHTON MI 48116-9458 WWW | - || - | MW / rw / 4,
CorsoCare Pharmacy - Electric - DTE Energy.pdf,2,,,,45274-0786,,,,
CorsoCare Hospice - Electric - DTE Energy.pdf,1,$ 122.94,9100 356 5617 2,9100 356 5617 2,48661-1188,DTE,03/21/2022,"MICHIGAN PREMIER HOMECARE AND HOSPICE LLC STE B 312 E HOUGHTON AVE WEST BRANCH , MI 48661-1188",
CorsoCare Hospice - Electric - DTE Energy.pdf,2,,,,48226-1221,,,,
Common Sail Storage LLC - Electric - DTE Energy.pdf,1,,9200 230 3450 6,9200 230 3450 6,48116-9458,OPS,,Mail Payments to : DTE Energy P.O. Box 740786 Cincinnati OH 45274-0786,Mail Payments to : DTE Energy P.O. Box 740786 Cincinnati OH 45274-0786
Common Sail Storage LLC - Electric - DTE Energy.pdf,2,,,,48226-1221,,,,
Cascade Trails Senior Living - Gas 08.27.22 to 09.28.22 - DTE Energy.pdf,1,$ 961.47,9200 168 5288 0,9200 168 5288 0,49546-6304,DTE,10/21/2022,"CASCADE TRAILS ASSISTED LIVING 1225 SPAULDING AVE SE GRAND RAPIDS , MI 49546-6304",
Cascade Trails Senior Living - Gas 08.27.22 to 09.28.22 - DTE Energy.pdf,2,,,,48226-1221,,,,
Grandhaven Living Center Electric 08.09.22 to 09.13.22 - BWL - 3.pdf,1,,,,,,,,
Grandhaven Living Center Electric 08.09.22 to 09.13.22 - BWL - 3.pdf,2,,,,,,,,
Grandhaven Living Center Electric 08.09.22 to 09.13.22 - BWL - 3.pdf,3,,,,,,,,
SP Gahanna - Electric 08.04.22 to 09.01.22 - Direct Energy Business (2).pdf,1,,,,,,,,
SP Gahanna - Electric 08.04.22 to 09.01.22 - Direct Energy Business (2).pdf,2,,,,,,,,
SP Fort Wayne North - Water - City Utilities - 1.7.2023 to 2.4.2023.pdf,1,,,,,,,,
IV Avon - Electricity - Duke Energy - 12.03.22 to 1.04.23.pdf,1,,,,,,,,
IV Avon - Electricity - Duke Energy - 12.03.22 to 1.04.23.pdf,2,,,,,,,,
SP Gahanna - Electric 08.05.22 to 09.02.22 - American Electric Power (2).pdf,1,,,,,,,,
SP Gahanna - Electric 08.05.22 to 09.02.22 - American Electric Power (2).pdf,2,,,,,,,,
IV White Lake - Water - White Lake Twp Water Dept.pdf,1,,,,,,,,
IV Aurora Electric 08.08.22 to 09.07.22 - Constellation NewEnergy. Inc.pdf,1,,,,,,,,
IV Aurora Electric 08.08.22 to 09.07.22 - Constellation NewEnergy. Inc.pdf,2,,,,,,,,
IV Aurora Electric 08.08.22 to 09.07.22 - Constellation NewEnergy. Inc.pdf,3,,,,,,,,
IV Avon - Gas - 07.14.22 to 08.15.22 - CenterPoint Energy Ohio.pdf,1,,,,,,,,
Southwick - Electric - Eversource (1-5).pdf,1,$ 155.13,5416 390 7090,,01077-9212,Eversource,12/27/2022,000000922 006599 HYYMINKTY K GKS 1 SAW MILL PARK SOUTHWICK MA 01077-9212,"tall - Eversource PO Box 56005 MA Boston , 02205-6005"
Southwick - Electric - Eversource (1-5).pdf,2,,,,,,,,
Southwick - Electric - Eversource (1-5).pdf,3,,,,,,,,
Southwick - Electric - Eversource (1-5).pdf,4,,,,,,,,
Southwick - Electric - Eversource (1-5).pdf,5,,,,,,,,
Southwick - Electric - Eversource (1-5).pdf,6,,,,,,,,
Southwick - Electric - Eversource (1-5).pdf,7,,,,,,,,
Southwick - Electric - Eversource (1-5).pdf,8,,,,,,,,
Southwick - Electric - Eversource (1-5).pdf,9,,,,,,,,
Southwick - Electric - Eversource (1-5).pdf,10,,,,,,,,
Southwick - Electric - Eversource (1-5).pdf,11,,,,,,,,
Southwick - Electric - Eversource (1-5).pdf,12,,,,,,,,
Southwick - Electric - Eversource (1-5).pdf,13,,,,,,,,
Southwick - Electric - Eversource (1-5).pdf,14,,,,,,,,
Southwick - Electric - Eversource (1-5).pdf,15,,,,,,,,
IV Avon Lake - Gas - Columbia Gas of Ohio - 12.16.22 to 01.19.23.pdf,1,"$ 12,771.11",15997536 004 000 6,,60197-4629,,02/07/2023,Your Contact Information : 345 Lear Rd Avon Lake OH 44012-2096,Make check payable to : COLUMBIA GAS PO BOX 4629 CAROL STREAM IL 60197-4629 WallyBa | d4 | k | o4 | 4 | hlari
IV Avon Lake - Gas - Columbia Gas of Ohio - 12.16.22 to 01.19.23.pdf,2,,,,,,,,
"Arbor Grove Assisted Living II, LLC Electric & Gas 08.29.22 to 09.27.22 - Consumers Energy - 3.pdf",1,,,,48801-1243,,,ARBOR GROVE ASSISTED 1320 PINE AVE LIVING ALMA MI 48801-1243,
"Arbor Grove Assisted Living II, LLC Electric & Gas 08.29.22 to 09.27.22 - Consumers Energy - 3.pdf",2,,,,,,,,
Springvale Assisted Living Electric & Gas 08.21.22 to 09.20.22 - Consumers Energy.pdf,1,,1030 2788 8272,,48473-1625,,,SPRING VALE ASSISTED LIVING LLC 4276 KROGER DR SWARTZ CREEK MI 48473-1625,PO BOX 740309 CINCINNATI OH 45274-0309
Springvale Assisted Living Electric & Gas 08.21.22 to 09.20.22 - Consumers Energy.pdf,2,,,,,,,,
Senior Living Devonshire Electric 07.28.22 to 08.26.22 - DTE Energy - 14.pdf,1,,9100 244 1753 7,,49512-2065,DTE,,136 1 SP 0.530T001 * 1 * P00 * M08 ************** SINGLE - PIECE DEVONSHIRE RETIREMENT VILLAGE LLC STE 200 3196 KRAFT AVE SE GRAND RAPIDS MI 49512-2065 T¶MuralMrhildc | 4p | [ / 4 / qlding |,Mail Payments to : DTE Energy P.O. Box 740786 OH Cincinnati 45274-0786
Senior Living Devonshire Electric 07.28.22 to 08.26.22 - DTE Energy - 14.pdf,2,,,,48226-1221,,,,
Cascade Trails Senior Living - Gas 08.27.22 to 09.23.22 - DTE Energy - 2.pdf,1,$ 273.17,9200 374 8059 6,9200 374 8059 6,49546-6304,DTE,10/19/2022,42516 1 AV 0.423T156 2 P00 * * M09 ******* AUTO ** 5 - CASCADE DIGIT TRAILS ASSISTED 4954 LIVING 1225 SPAULDING AVE SE GRAND RAPIDS MI 49546-6304 |||||||||||||||||||||,
Cascade Trails Senior Living - Gas 08.27.22 to 09.23.22 - DTE Energy - 2.pdf,2,,,,48226-1221,,,,"If You Smell Natural Gas and DTE Gas Company is Your Natural Gas Provider , Call 800.947.5000 If the odor is strong , leave the building immediately . Do not use electric switches or an open flame . Open doors and windows . If Your Electricity Goes Out Check your fuses or circuit breakers then see if your neighbors ' , lights are on . To report an outage or fallen power line , contact your electric company . DTE Electric Company customers , call 800.477.4747 or visit dteenergy.com from a location that has power . Stay at least 20 feet away from a fallen power line and anything it's touching , including metal fences and puddles . Energy Theft is illegal & dangerous Confidentially report suspected tampering by calling our theft hotline at 800.441.6698 . For More Information For more information on your bill or alternative payment methods , call 800.477.4747 , visit Energy One Energy Plaza Detroit MI 48226-1221 before the due date dteenergy.com , or write to DTE , , , . DTE Electric and DTE Cas Company are Energy subsidiaries are regulated by the Public Service , Lansing , Michigan Company DTE and Michigan Commission ."
